  0% 0/2660 [00:00<?, ?it/s]/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:929: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                        
{'loss': 2.2601, 'grad_norm': 1.2374781370162964, 'learning_rate': 0.00019999435079407074, 'entropy': 1.895793652534485, 'num_tokens': 7949.0, 'mean_token_accuracy': 0.629296875, 'epoch': 0.03}
{'loss': 0.7198, 'grad_norm': 1.19476318359375, 'learning_rate': 0.00016244127487683162, 'entropy': 0.7540408372879028, 'num_tokens': 618924.0, 'mean_token_accuracy': 0.824609375, 'epoch': 2.0}
  return fn(*args, **kwargs)
                                           
{'loss': 0.5294, 'grad_norm': 0.992872416973114, 'learning_rate': 0.00016151442983927523, 'entropy': 0.6444271564483642, 'num_tokens': 626917.0, 'mean_token_accuracy': 0.8640625, 'epoch': 2.03}
{'loss': 0.5416, 'grad_norm': 1.449965000152588, 'learning_rate': 0.000160579004384082, 'entropy': 0.5602990478277207, 'num_tokens': 635169.0, 'mean_token_accuracy': 0.861328125, 'epoch': 2.05}
{'loss': 0.4927, 'grad_norm': 1.3059152364730835, 'learning_rate': 0.0001596351289902484, 'entropy': 0.5619562268257141, 'num_tokens': 643211.0, 'mean_token_accuracy': 0.863671875, 'epoch': 2.08}
{'loss': 0.5346, 'grad_norm': 1.2615599632263184, 'learning_rate': 0.0001586829353154212, 'entropy': 0.583376145362854, 'num_tokens': 651716.0, 'mean_token_accuracy': 0.863671875, 'epoch': 2.11}
{'loss': 0.5138, 'grad_norm': 1.2051316499710083, 'learning_rate': 0.0001577225561775331, 'entropy': 0.5897873044013977, 'num_tokens': 659910.0, 'mean_token_accuracy': 0.8640625, 'epoch': 2.13}
{'loss': 0.5109, 'grad_norm': 1.2777378559112549, 'learning_rate': 0.00015675412553627639, 'entropy': 0.5735835492610931, 'num_tokens': 667961.0, 'mean_token_accuracy': 0.86171875, 'epoch': 2.16}
{'loss': 0.5095, 'grad_norm': 1.1833515167236328, 'learning_rate': 0.00015577777847441743, 'entropy': 0.5574221849441529, 'num_tokens': 676027.0, 'mean_token_accuracy': 0.865234375, 'epoch': 2.18}
{'loss': 0.5202, 'grad_norm': 1.1998131275177002, 'learning_rate': 0.00015479365117895447, 'entropy': 0.5897390842437744, 'num_tokens': 684384.0, 'mean_token_accuracy': 0.85703125, 'epoch': 2.21}
{'loss': 0.51, 'grad_norm': 1.1522456407546997, 'learning_rate': 0.00015380188092212148, 'entropy': 0.5499340653419494, 'num_tokens': 692909.0, 'mean_token_accuracy': 0.863671875, 'epoch': 2.24}
{'loss': 0.5402, 'grad_norm': 1.2336645126342773, 'learning_rate': 0.0001528026060422404, 'entropy': 0.5828577667474747, 'num_tokens': 701133.0, 'mean_token_accuracy': 0.858984375, 'epoch': 2.26}
{'loss': 0.5428, 'grad_norm': 1.2906166315078735, 'learning_rate': 0.0001517959659244251, 'entropy': 0.611293375492096, 'num_tokens': 709186.0, 'mean_token_accuracy': 0.854296875, 'epoch': 2.29}
{'loss': 0.5284, 'grad_norm': 1.1960294246673584, 'learning_rate': 0.00015078210098113886, 'entropy': 0.5754708707332611, 'num_tokens': 717177.0, 'mean_token_accuracy': 0.859375, 'epoch': 2.32}
{'loss': 0.5157, 'grad_norm': 1.2856724262237549, 'learning_rate': 0.00014976115263260875, 'entropy': 0.5870685279369354, 'num_tokens': 725301.0, 'mean_token_accuracy': 0.863671875, 'epoch': 2.34}
{'loss': 0.5281, 'grad_norm': 1.1546329259872437, 'learning_rate': 0.00014873326328709966, 'entropy': 0.5763931155204773, 'num_tokens': 733362.0, 'mean_token_accuracy': 0.861328125, 'epoch': 2.37}
{'loss': 0.5287, 'grad_norm': 1.0545762777328491, 'learning_rate': 0.0001476985763210501, 'entropy': 0.5776075661182404, 'num_tokens': 741389.0, 'mean_token_accuracy': 0.8640625, 'epoch': 2.39}
{'loss': 0.5114, 'grad_norm': 1.225612759590149, 'learning_rate': 0.00014665723605907332, 'entropy': 0.5920001864433289, 'num_tokens': 749527.0, 'mean_token_accuracy': 0.86484375, 'epoch': 2.42}
{'loss': 0.5363, 'grad_norm': 1.299959659576416, 'learning_rate': 0.0001456093877538258, 'entropy': 0.5730976998806, 'num_tokens': 757727.0, 'mean_token_accuracy': 0.85859375, 'epoch': 2.45}
{'loss': 0.5571, 'grad_norm': 1.4087679386138916, 'learning_rate': 0.00014455517756574668, 'entropy': 0.5913133800029755, 'num_tokens': 766036.0, 'mean_token_accuracy': 0.856640625, 'epoch': 2.47}
{'loss': 0.5353, 'grad_norm': 1.3172534704208374, 'learning_rate': 0.0001434947525426704, 'entropy': 0.6053088009357452, 'num_tokens': 774277.0, 'mean_token_accuracy': 0.858203125, 'epoch': 2.5}
{'loss': 0.5227, 'grad_norm': 1.2488209009170532, 'learning_rate': 0.00014242826059931537, 'entropy': 0.5752895295619964, 'num_tokens': 782297.0, 'mean_token_accuracy': 0.8625, 'epoch': 2.53}
{'loss': 0.5097, 'grad_norm': 1.2090293169021606, 'learning_rate': 0.00014135585049665207, 'entropy': 0.5461260616779328, 'num_tokens': 790069.0, 'mean_token_accuracy': 0.8625, 'epoch': 2.55}
{'loss': 0.5288, 'grad_norm': 1.196946620941162, 'learning_rate': 0.00014027767182115284, 'entropy': 0.5812403798103333, 'num_tokens': 798169.0, 'mean_token_accuracy': 0.862109375, 'epoch': 2.58}
{'loss': 0.5293, 'grad_norm': 1.20012366771698, 'learning_rate': 0.0001391938749639267, 'entropy': 0.5939173221588134, 'num_tokens': 806369.0, 'mean_token_accuracy': 0.865625, 'epoch': 2.61}
{'loss': 0.5383, 'grad_norm': 1.4095638990402222, 'learning_rate': 0.00013810461109974175, 'entropy': 0.5883932024240494, 'num_tokens': 814457.0, 'mean_token_accuracy': 0.85859375, 'epoch': 2.63}
{'loss': 0.5608, 'grad_norm': 1.3250151872634888, 'learning_rate': 0.00013701003216593855, 'entropy': 0.6100141882896424, 'num_tokens': 822570.0, 'mean_token_accuracy': 0.856640625, 'epoch': 2.66}
{'loss': 0.5055, 'grad_norm': 1.4472659826278687, 'learning_rate': 0.00013591029084123666, 'entropy': 0.5891728639602661, 'num_tokens': 830773.0, 'mean_token_accuracy': 0.861328125, 'epoch': 2.68}
{'loss': 0.5178, 'grad_norm': 1.414215326309204, 'learning_rate': 0.00013480554052443846, 'entropy': 0.5461899816989899, 'num_tokens': 838866.0, 'mean_token_accuracy': 0.861328125, 'epoch': 2.71}
{'loss': 0.5409, 'grad_norm': 1.53390634059906, 'learning_rate': 0.00013369593531303164, 'entropy': 0.562551400065422, 'num_tokens': 847066.0, 'mean_token_accuracy': 0.848828125, 'epoch': 2.74}
{'loss': 0.5452, 'grad_norm': 1.3135254383087158, 'learning_rate': 0.0001325816299816952, 'entropy': 0.5996696352958679, 'num_tokens': 855384.0, 'mean_token_accuracy': 0.86015625, 'epoch': 2.76}
{'loss': 0.5268, 'grad_norm': 1.3107726573944092, 'learning_rate': 0.00013146277996071008, 'entropy': 0.5934551596641541, 'num_tokens': 863447.0, 'mean_token_accuracy': 0.860546875, 'epoch': 2.79}
{'loss': 0.5347, 'grad_norm': 1.2522668838500977, 'learning_rate': 0.00013033954131427914, 'entropy': 0.5874104738235474, 'num_tokens': 871744.0, 'mean_token_accuracy': 0.8578125, 'epoch': 2.82}
{'loss': 0.5202, 'grad_norm': 1.5503780841827393, 'learning_rate': 0.0001292120707187581, 'entropy': 0.570990014076233, 'num_tokens': 879857.0, 'mean_token_accuracy': 0.8609375, 'epoch': 2.84}
{'loss': 0.514, 'grad_norm': 1.4210668802261353, 'learning_rate': 0.00012808052544080142, 'entropy': 0.5646077990531921, 'num_tokens': 888005.0, 'mean_token_accuracy': 0.864453125, 'epoch': 2.87}
{'loss': 0.5057, 'grad_norm': 1.11368989944458, 'learning_rate': 0.0001269450633154258, 'entropy': 0.5594210207462311, 'num_tokens': 895996.0, 'mean_token_accuracy': 0.8671875, 'epoch': 2.89}
{'loss': 0.555, 'grad_norm': 1.2234230041503906, 'learning_rate': 0.0001258058427239943, 'entropy': 0.5954978764057159, 'num_tokens': 904197.0, 'mean_token_accuracy': 0.85703125, 'epoch': 2.92}
{'loss': 0.5197, 'grad_norm': 1.396864414215088, 'learning_rate': 0.00012466302257212435, 'entropy': 0.5732641518115997, 'num_tokens': 912390.0, 'mean_token_accuracy': 0.859765625, 'epoch': 2.95}
{'loss': 0.5097, 'grad_norm': 1.1671096086502075, 'learning_rate': 0.00012351676226752268, 'entropy': 0.5554805994033813, 'num_tokens': 920418.0, 'mean_token_accuracy': 0.8625, 'epoch': 2.97}
{'loss': 0.53, 'grad_norm': 1.3265142440795898, 'learning_rate': 0.00012236722169774983, 'entropy': 0.5662798047065735, 'num_tokens': 928386.0, 'mean_token_accuracy': 0.86328125, 'epoch': 3.0}
  return fn(*args, **kwargs)
                                           
{'loss': 0.3328, 'grad_norm': 1.5303322076797485, 'learning_rate': 0.00012121456120791854, 'entropy': 0.4912401080131531, 'num_tokens': 936606.0, 'mean_token_accuracy': 0.9109375, 'epoch': 3.03}
{'loss': 0.3106, 'grad_norm': 1.1509846448898315, 'learning_rate': 0.00012005894157832729, 'entropy': 0.38616286814212797, 'num_tokens': 944752.0, 'mean_token_accuracy': 0.908203125, 'epoch': 3.05}
{'loss': 0.3053, 'grad_norm': 1.4862613677978516, 'learning_rate': 0.00011890052400203404, 'entropy': 0.39631195068359376, 'num_tokens': 953104.0, 'mean_token_accuracy': 0.915625, 'epoch': 3.08}
{'loss': 0.3144, 'grad_norm': 1.281432032585144, 'learning_rate': 0.0001177394700623718, 'entropy': 0.39586926698684693, 'num_tokens': 961198.0, 'mean_token_accuracy': 0.913671875, 'epoch': 3.11}
{'loss': 0.3362, 'grad_norm': 1.4760074615478516, 'learning_rate': 0.00011657594171041007, 'entropy': 0.41878112852573396, 'num_tokens': 969155.0, 'mean_token_accuracy': 0.90625, 'epoch': 3.13}
{'loss': 0.3184, 'grad_norm': 1.443729281425476, 'learning_rate': 0.0001154101012423648, 'entropy': 0.400480055809021, 'num_tokens': 977203.0, 'mean_token_accuracy': 0.906640625, 'epoch': 3.16}
{'loss': 0.3408, 'grad_norm': 1.3741176128387451, 'learning_rate': 0.00011424211127696047, 'entropy': 0.43018674850463867, 'num_tokens': 985425.0, 'mean_token_accuracy': 0.90546875, 'epoch': 3.18}
{'loss': 0.3143, 'grad_norm': 1.1695295572280884, 'learning_rate': 0.00011307213473274679, 'entropy': 0.4061220049858093, 'num_tokens': 993435.0, 'mean_token_accuracy': 0.91484375, 'epoch': 3.21}
{'loss': 0.3235, 'grad_norm': 1.3275763988494873, 'learning_rate': 0.00011190033480537399, 'entropy': 0.3934170067310333, 'num_tokens': 1001410.0, 'mean_token_accuracy': 0.9078125, 'epoch': 3.24}
